-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2022 
Location: Latitude  -2.9909   Longitude 104.7566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                  MERRA-2 Surface Pressure (kPa) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
WD10M               MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M               MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M               MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M_MAX           MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN           MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX           MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN           MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE         MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE         MERRA-2 Wind Speed at 50 Meters Range (m/s) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2013,91.0,90.38,88.62,88.75,89.81,87.06,90.38,88.5,87.44,85.12,88.25,91.25,88.88
RH2M,2014,90.56,88.5,86.62,87.5,89.12,90.38,89.0,87.12,84.06,82.38,84.69,88.31,87.38
RH2M,2015,90.19,89.69,89.25,88.69,89.44,89.06,87.44,85.38,81.56,77.5,80.38,86.69,86.25
RH2M,2016,87.69,89.19,89.12,88.75,89.19,89.0,89.31,87.38,87.31,88.19,89.06,89.25,88.62
RH2M,2017,89.88,90.75,88.56,89.25,90.75,89.56,90.31,88.31,86.31,86.31,87.5,90.31,89.0
RH2M,2018,89.75,90.88,89.69,88.44,90.12,91.06,88.19,87.44,86.12,85.0,87.06,87.94,88.44
RH2M,2019,90.56,89.94,88.56,89.12,90.25,90.12,87.75,85.81,83.94,81.31,80.81,86.88,87.06
RH2M,2020,88.62,87.69,87.5,89.19,90.88,90.75,90.31,88.06,87.38,87.81,88.25,90.19,88.88
RH2M,2021,92.06,90.94,89.62,87.62,89.56,89.44,88.56,88.81,88.0,85.94,86.56,89.75,88.88
RH2M,2022,91.19,89.0,88.69,88.31,89.69,90.62,90.31,89.75,88.62,88.44,88.12,89.31,89.38
WD10M,2001,334.5,335.12,314.12,138.31,119.88,152.25,137.44,136.94,123.81,140.44,353.75,328.62,98.0
WD10M,2002,354.25,345.81,9.81,76.0,122.38,130.88,141.06,140.38,131.0,116.69,73.0,343.56,80.44
WD10M,2003,331.81,344.94,6.5,86.5,132.62,120.38,122.38,125.44,132.69,115.44,92.69,338.5,79.12
WD10M,2004,349.38,353.19,335.06,102.25,144.25,146.06,132.25,128.94,116.25,99.94,13.31,342.38,70.69
WD10M,2005,349.19,3.31,351.81,42.81,125.75,134.75,142.5,140.44,142.62,125.44,250.5,308.0,72.31
WD10M,2006,336.62,343.81,343.12,309.12,128.88,137.44,139.31,140.19,135.81,128.94,82.0,345.06,94.25
WD10M,2007,333.56,354.0,319.75,17.06,124.81,133.75,135.0,130.56,133.75,130.75,279.25,336.25,91.75
WD10M,2008,340.06,336.31,342.44,116.31,136.75,130.31,133.94,125.5,128.38,122.19,274.19,320.44,100.69
WD10M,2009,341.06,336.12,357.81,126.25,141.12,134.62,133.44,128.62,133.38,124.38,40.0,347.5,100.88
WD10M,2010,340.25,358.0,341.94,1.69,127.62,147.38,140.12,130.56,129.38,195.0,186.81,303.75,76.0
WD10M,2011,329.31,341.56,313.31,0.88,145.31,143.81,133.38,130.0,129.56,125.75,339.94,324.81,93.0
WD10M,2012,316.25,350.12,310.38,143.0,141.06,136.94,135.94,130.06,134.44,120.12,103.06,330.38,123.62
WD10M,2013,326.88,332.56,355.62,82.0,118.38,214.06,140.94,134.12,121.38,124.75,158.19,329.81,84.12
WD10M,2014,347.31,355.06,7.31,271.19,120.75,145.56,149.38,120.19,124.5,119.56,131.56,313.62,90.19
WD10M,2015,337.19,357.0,353.56,343.5,123.0,130.94,135.44,125.75,128.44,117.75,77.06,338.56,92.06
WD10M,2016,2.88,345.75,350.38,91.94,134.69,162.25,141.19,167.25,171.19,196.94,236.62,294.06,16.88
WD10M,2017,316.88,336.81,338.19,212.12,131.12,135.06,141.44,126.0,126.56,199.81,286.38,326.44,127.06
WD10M,2018,311.56,348.56,340.75,81.88,115.56,132.88,138.0,137.06,133.31,109.5,338.44,302.06,106.38
WD10M,2019,335.06,5.44,344.0,87.69,139.31,130.94,128.75,134.44,128.25,118.69,74.5,347.12,101.06
WD10M,2020,346.5,355.5,0.88,27.56,126.75,124.69,124.12,130.31,128.12,162.75,28.38,316.81,73.38
WD10M,2021,334.69,352.0,346.56,20.75,114.88,142.0,138.88,127.25,125.38,139.06,267.94,328.0,67.62
WD10M,2022,345.62,340.38,319.38,57.56,150.69,147.5,140.81,129.75,146.06,234.44,282.38,320.25,125.56
WD50M,2001,336.75,337.0,319.12,123.19,118.44,150.25,135.25,133.38,123.44,133.75,4.25,332.31,91.25
WD50M,2002,355.12,347.06,11.81,75.44,120.62,128.88,138.19,137.25,128.81,115.31,70.88,348.62,79.56
WD50M,2003,334.94,346.75,9.69,86.19,130.0,119.81,121.94,124.69,130.81,110.88,81.94,340.56,78.0
WD50M,2004,350.31,354.69,339.19,102.25,139.38,143.56,129.75,127.19,115.69,96.56,15.56,344.12,70.69
WD50M,2005,350.62,5.5,354.44,50.19,123.88,132.5,138.88,137.06,139.56,121.75,5.75,310.38,72.31
WD50M,2006,338.5,345.69,345.5,315.31,125.88,135.38,136.62,138.25,133.69,126.56,78.94,346.81,90.38
WD50M,2007,335.88,355.75,323.12,24.06,123.88,131.75,133.75,129.44,131.69,127.44,304.75,338.44,89.06
WD50M,2008,342.56,337.44,345.81,113.12,135.0,129.06,132.31,125.0,125.75,121.06,286.62,322.25,97.19
WD50M,2009,343.06,338.81,14.0,122.31,138.0,132.88,131.12,127.44,130.94,121.94,49.25,350.75,97.31
WD50M,2010,342.56,1.19,344.44,13.81,125.06,146.06,137.69,128.81,125.88,192.06,146.38,305.5,73.25
WD50M,2011,331.19,342.88,316.38,12.56,140.88,140.81,131.38,128.75,128.31,122.69,351.38,328.56,87.31
WD50M,2012,318.31,353.75,312.12,140.06,138.44,134.5,133.88,128.5,132.0,117.56,99.94,336.25,118.06
WD50M,2013,329.0,334.81,1.56,84.5,117.19,209.06,138.5,132.94,119.25,120.75,119.94,334.75,79.31
WD50M,2014,349.12,357.62,9.5,279.94,119.5,143.38,145.31,119.12,123.44,118.25,125.69,318.69,88.69
WD50M,2015,339.69,358.81,356.19,351.06,122.38,129.56,134.5,125.0,127.5,117.19,74.0,342.62,90.5
WD50M,2016,4.88,347.88,353.5,91.62,132.44,159.5,139.0,163.0,164.75,192.94,230.56,295.19,52.19
WD50M,2017,319.81,339.62,343.81,204.75,129.62,133.0,139.69,124.75,125.5,196.5,291.81,330.31,115.62
WD50M,2018,313.12,351.06,344.5,80.81,115.81,131.69,135.88,135.38,131.38,105.69,7.31,305.88,101.81
WD50M,2019,337.81,8.56,348.5,85.56,137.62,129.69,127.88,132.94,127.31,118.06,69.5,349.88,97.69
WD50M,2020,348.94,357.5,4.06,30.69,126.25,124.0,123.31,129.25,126.0,158.12,45.94,320.0,73.62
WD50M,2021,336.38,354.12,350.12,27.88,114.0,140.12,136.88,126.06,123.88,133.19,270.19,332.5,66.75
WD50M,2022,349.19,343.81,325.69,62.31,148.19,145.94,138.75,128.19,144.06,234.38,286.06,325.19,107.75
WS10M,2001,1.76,2.14,1.52,1.26,1.38,1.34,1.73,1.71,1.8,1.38,1.51,1.77,1.6
WS10M,2002,2.5,2.38,1.73,1.36,1.42,1.44,1.74,1.94,1.88,1.85,1.38,1.41,1.75
WS10M,2003,1.98,2.09,1.61,1.28,1.54,1.77,1.92,1.8,1.8,1.44,1.3,1.91,1.7
WS10M,2004,2.11,2.05,1.54,1.33,1.31,1.64,1.49,2.05,1.97,1.54,1.57,1.98,1.71
WS10M,2005,2.27,1.91,1.73,1.34,1.48,1.39,1.59,1.67,1.7,1.5,1.4,1.59,1.63
WS10M,2006,1.97,2.0,1.74,1.17,1.24,1.51,1.7,2.09,2.19,1.98,1.37,1.71,1.73
WS10M,2007,1.92,2.0,1.54,1.12,1.45,1.39,1.65,1.9,1.95,1.65,1.36,1.88,1.65
WS10M,2008,1.84,2.12,1.5,1.23,1.73,1.68,1.84,1.87,1.68,1.6,1.26,1.76,1.67
WS10M,2009,2.23,1.74,1.2,1.28,1.37,1.55,1.76,1.88,1.91,1.59,1.44,1.7,1.64
WS10M,2010,1.76,1.6,1.41,1.19,1.23,1.36,1.45,1.42,1.27,1.49,1.23,1.77,1.43
WS10M,2011,2.07,1.95,1.34,1.27,1.37,1.55,1.81,1.95,2.05,1.49,1.37,1.78,1.66
WS10M,2012,1.87,1.55,1.55,1.32,1.41,1.66,1.81,2.05,1.97,1.57,1.15,1.38,1.61
WS10M,2013,2.02,1.77,1.45,1.23,1.28,1.3,1.37,1.8,1.62,1.44,1.27,1.51,1.51
WS10M,2014,2.17,1.98,1.84,1.16,1.38,1.48,1.62,1.85,2.05,1.81,1.35,1.55,1.69
WS10M,2015,2.01,1.9,1.55,1.23,1.61,1.68,1.95,2.05,2.16,2.05,1.35,1.71,1.77
WS10M,2016,1.66,1.92,1.6,1.19,1.23,1.31,1.42,1.53,1.4,1.32,1.27,1.76,1.47
WS10M,2017,1.62,1.9,1.41,1.15,1.52,1.4,1.65,1.87,1.75,1.38,1.4,1.66,1.55
WS10M,2018,1.81,1.97,1.34,1.3,1.48,1.59,1.79,1.85,1.94,1.47,1.27,1.38,1.6
WS10M,2019,1.91,1.62,1.42,1.16,1.47,1.66,1.92,2.14,2.17,1.98,1.39,1.66,1.71
WS10M,2020,2.0,2.01,1.56,1.21,1.3,1.52,1.68,1.85,1.75,1.55,1.5,1.79,1.64
WS10M,2021,2.07,2.24,1.5,1.41,1.36,1.41,1.64,1.68,1.66,1.39,1.29,1.54,1.59
WS10M,2022,1.78,1.61,1.28,1.18,1.28,1.36,1.48,1.59,1.46,1.37,1.27,1.56,1.44
WS50M,2001,3.07,3.76,2.59,2.2,2.45,2.3,3.02,3.05,3.16,2.41,2.62,3.08,2.8
WS50M,2002,4.29,4.09,3.05,2.42,2.52,2.51,3.09,3.38,3.31,3.25,2.38,2.45,3.05
WS50M,2003,3.46,3.63,2.79,2.27,2.7,3.05,3.3,3.17,3.09,2.51,2.2,3.34,2.95
WS50M,2004,3.66,3.57,2.65,2.39,2.28,2.85,2.66,3.61,3.45,2.76,2.73,3.42,3.0
WS50M,2005,3.93,3.38,3.05,2.34,2.63,2.42,2.77,2.97,2.99,2.62,2.41,2.76,2.86
WS50M,2006,3.42,3.48,3.07,1.98,2.12,2.69,3.01,3.65,3.84,3.55,2.41,2.99,3.02
WS50M,2007,3.34,3.43,2.62,1.93,2.6,2.44,2.91,3.32,3.37,2.89,2.27,3.23,2.86
WS50M,2008,3.23,3.64,2.62,2.17,3.05,2.94,3.2,3.27,2.95,2.77,2.1,3.05,2.91
WS50M,2009,3.9,2.98,2.05,2.23,2.35,2.72,3.09,3.27,3.29,2.8,2.42,2.93,2.84
WS50M,2010,3.05,2.87,2.46,2.04,2.16,2.38,2.53,2.53,2.22,2.58,2.08,3.09,2.5
WS50M,2011,3.62,3.42,2.25,2.18,2.39,2.72,3.18,3.38,3.52,2.55,2.41,3.08,2.89
WS50M,2012,3.27,2.72,2.55,2.31,2.45,2.91,3.16,3.54,3.41,2.69,1.98,2.39,2.78
WS50M,2013,3.55,3.12,2.56,2.09,2.18,2.15,2.41,3.18,2.87,2.47,2.16,2.66,2.62
WS50M,2014,3.76,3.45,3.15,1.96,2.47,2.59,2.88,3.29,3.52,3.14,2.36,2.61,2.93
WS50M,2015,3.46,3.31,2.66,2.09,2.84,2.97,3.38,3.55,3.71,3.52,2.3,2.95,3.06
WS50M,2016,2.95,3.36,2.82,2.07,2.12,2.27,2.48,2.65,2.36,2.2,2.16,3.0,2.54
WS50M,2017,2.77,3.31,2.41,1.91,2.71,2.46,2.91,3.27,3.05,2.3,2.38,2.9,2.7
WS50M,2018,3.12,3.46,2.39,2.3,2.62,2.82,3.11,3.23,3.34,2.55,2.16,2.34,2.78
WS50M,2019,3.38,2.85,2.45,2.03,2.55,2.93,3.35,3.66,3.68,3.35,2.41,2.91,2.97
WS50M,2020,3.45,3.45,2.72,2.09,2.31,2.71,3.0,3.24,3.06,2.64,2.61,3.14,2.87
WS50M,2021,3.63,3.94,2.68,2.42,2.39,2.43,2.88,2.94,2.93,2.4,2.14,2.66,2.78
WS50M,2022,3.12,2.8,2.16,1.98,2.2,2.36,2.56,2.77,2.55,2.29,2.12,2.7,2.47
WS10M_MAX,2001,4.73,5.31,3.61,3.39,3.48,3.37,3.39,4.04,3.84,3.02,3.7,4.95,5.31
WS10M_MAX,2002,5.45,5.18,4.22,3.07,3.23,3.12,3.77,4.75,3.77,3.97,3.2,4.47,5.45
WS10M_MAX,2003,4.34,5.89,5.02,3.05,3.25,3.53,4.29,3.83,4.29,3.68,3.38,4.62,5.89
WS10M_MAX,2004,4.62,4.92,4.5,2.84,3.02,3.55,2.98,3.99,3.88,4.06,4.01,4.68,4.92
WS10M_MAX,2005,4.75,4.97,4.55,3.3,3.24,3.05,3.66,3.6,3.97,3.12,3.43,4.04,4.97
WS10M_MAX,2006,4.9,4.68,3.94,2.62,3.76,3.09,3.23,4.16,4.39,4.17,3.05,4.88,4.9
WS10M_MAX,2007,5.89,4.92,4.39,3.35,2.94,3.58,3.39,4.06,3.96,3.95,3.58,5.18,5.89
WS10M_MAX,2008,4.59,4.71,3.27,2.41,3.18,3.95,3.81,3.95,4.19,3.54,3.54,5.1,5.1
WS10M_MAX,2009,5.04,4.67,2.95,2.63,3.0,2.99,4.09,3.62,4.34,3.28,3.64,3.91,5.04
WS10M_MAX,2010,4.64,4.05,3.29,2.75,2.54,2.78,3.7,2.97,3.03,3.54,3.99,4.01,4.64
WS10M_MAX,2011,5.12,4.14,3.95,2.49,2.88,3.25,3.74,3.8,4.26,3.21,3.36,5.01,5.12
WS10M_MAX,2012,4.66,3.09,4.7,2.99,3.65,3.76,3.67,3.92,4.13,3.41,2.47,3.27,4.7
WS10M_MAX,2013,4.6,4.8,3.84,3.0,3.19,3.26,3.48,4.67,3.89,3.39,4.3,3.8,4.8
WS10M_MAX,2014,4.99,4.3,3.97,3.55,2.66,3.08,3.08,4.09,4.5,3.68,3.05,3.62,4.99
WS10M_MAX,2015,4.27,4.34,3.09,2.55,3.29,3.4,3.95,4.35,4.0,4.05,2.95,4.66,4.66
WS10M_MAX,2016,4.1,4.52,4.52,2.67,2.79,2.41,3.24,4.02,3.55,3.3,3.28,4.18,4.52
WS10M_MAX,2017,3.93,5.02,3.29,2.59,2.85,3.27,3.59,4.04,3.91,3.33,4.34,4.47,5.02
WS10M_MAX,2018,4.72,4.66,3.39,2.8,4.26,3.38,3.5,4.02,4.09,3.54,3.04,3.65,4.72
WS10M_MAX,2019,4.42,3.3,2.84,2.66,3.34,3.78,3.69,4.41,4.27,3.8,3.39,3.39,4.42
WS10M_MAX,2020,4.39,5.35,3.67,2.7,2.69,3.47,3.78,3.98,4.27,3.48,3.96,3.9,5.35
WS10M_MAX,2021,5.92,4.95,3.77,3.62,2.86,3.04,3.77,3.73,3.73,3.38,3.64,3.54,5.92
WS10M_MAX,2022,3.65,3.78,3.54,3.09,2.78,2.86,4.44,3.77,2.96,3.76,3.12,4.79,4.79
WS10M_MIN,2001,0.25,0.02,0.12,0.01,0.22,0.1,0.49,0.16,0.48,0.04,0.09,0.17,0.01
WS10M_MIN,2002,1.05,0.74,0.3,0.1,0.09,0.1,0.18,0.49,0.19,0.41,0.16,0.09,0.09
WS10M_MIN,2003,0.61,0.21,0.16,0.2,0.12,0.84,0.83,0.12,0.1,0.09,0.09,0.23,0.09
WS10M_MIN,2004,0.23,0.22,0.08,0.15,0.02,0.06,0.07,1.16,0.89,0.02,0.05,0.28,0.02
WS10M_MIN,2005,0.63,0.37,0.09,0.12,0.21,0.09,0.1,0.14,0.05,0.07,0.12,0.09,0.05
WS10M_MIN,2006,0.45,0.47,0.05,0.08,0.02,0.22,0.11,1.02,0.7,0.24,0.05,0.06,0.02
WS10M_MIN,2007,0.32,0.05,0.13,0.03,0.37,0.05,0.15,0.85,0.05,0.12,0.06,0.39,0.03
WS10M_MIN,2008,0.2,0.34,0.27,0.08,0.53,0.39,0.5,0.59,0.14,0.23,0.08,0.38,0.08
WS10M_MIN,2009,0.66,0.01,0.11,0.09,0.09,0.49,0.48,0.43,0.34,0.13,0.07,0.08,0.01
WS10M_MIN,2010,0.12,0.07,0.12,0.11,0.02,0.04,0.18,0.03,0.13,0.08,0.12,0.43,0.02
WS10M_MIN,2011,0.67,0.9,0.12,0.18,0.12,0.15,0.37,0.2,0.08,0.2,0.14,0.2,0.08
WS10M_MIN,2012,0.09,0.12,0.05,0.15,0.1,0.09,0.38,1.03,0.06,0.24,0.06,0.05,0.05
WS10M_MIN,2013,0.38,0.14,0.04,0.02,0.02,0.1,0.12,0.11,0.09,0.06,0.22,0.12,0.02
WS10M_MIN,2014,0.16,0.36,0.26,0.08,0.19,0.09,0.35,0.98,0.4,0.2,0.04,0.02,0.02
WS10M_MIN,2015,0.68,0.36,0.14,0.03,0.22,0.84,0.24,1.03,0.57,0.46,0.13,0.07,0.03
WS10M_MIN,2016,0.15,0.15,0.16,0.14,0.09,0.08,0.15,0.07,0.13,0.16,0.07,0.03,0.03
WS10M_MIN,2017,0.2,0.1,0.04,0.08,0.15,0.09,0.44,0.54,0.31,0.1,0.05,0.03,0.03
WS10M_MIN,2018,0.11,0.57,0.09,0.05,0.09,0.3,0.32,0.73,0.39,0.05,0.09,0.03,0.03
WS10M_MIN,2019,0.63,0.19,0.1,0.06,0.05,0.3,1.08,1.16,1.15,0.52,0.11,0.11,0.05
WS10M_MIN,2020,0.84,0.09,0.16,0.07,0.11,0.14,0.16,0.41,0.09,0.09,0.05,0.27,0.05
WS10M_MIN,2021,0.85,0.22,0.12,0.02,0.09,0.23,0.46,0.17,0.16,0.08,0.03,0.18,0.02
WS10M_MIN,2022,0.08,0.16,0.06,0.02,0.06,0.19,0.11,0.12,0.02,0.12,0.02,0.17,0.02
WS50M_MAX,2001,6.65,7.37,4.94,4.63,4.9,4.61,4.72,5.54,5.27,4.24,5.01,6.88,7.37
WS50M_MAX,2002,7.59,7.08,5.7,4.31,4.55,4.45,5.23,6.58,5.43,5.48,4.66,6.24,7.59
WS50M_MAX,2003,5.89,8.18,6.95,4.27,4.45,5.07,5.98,5.23,5.78,5.05,4.59,6.35,8.18
WS50M_MAX,2004,6.48,6.84,6.3,4.59,4.17,4.95,4.34,5.55,5.29,5.61,5.42,6.43,6.84
WS50M_MAX,2005,6.53,6.91,6.3,4.62,4.43,4.26,5.28,4.94,5.59,5.0,4.73,5.44,6.91
WS50M_MAX,2006,6.72,6.43,5.3,4.2,5.31,4.64,4.63,5.72,6.11,5.61,4.51,6.75,6.75
